기준년월,구분,골프장,관광기념품,관광유원시설,기타레저,기타숙박,대형쇼핑몰,레저용품쇼핑,렌터카,면세점,문화서비스,수상운송,스키장,식음료,여행업,육상운송,캠핑장/펜션,콘도,항공운송,호텔,카지노,관광총소비,평균기온(℃),최저기온(℃),최고기온(℃),방문자수
20180101,내국인,120701.0,26043.0,111061.0,355665.0,566771.0,6056574.0,1134272.0,19695.0,223042.0,1485300.0,64365.0,37522.0,15465698.0,41559.0,1336056.0,370.0,14031.0,550708.0,888759.0,0.0,28498192.0,-1.3,-5.1,3.8,4840114.0
20180102,내국인,141696.0,28959.0,123890.0,639208.0,274243.0,6597272.0,1100400.0,60618.0,222541.0,711677.0,58220.0,18739.0,15052539.0,1048525.0,1266568.0,0.0,3648.0,1485335.0,550999.0,0.0,29385078.0,-1.8,-4.3,1.8,5541284.0
20180103,내국인,117063.0,44451.0,112622.0,546619.0,322489.0,6032241.0,1073413.0,38854.0,204052.0,697229.0,52772.0,16958.0,16755992.0,985991.0,1194334.0,0.0,30216.0,1642292.0,471557.0,0.0,30339145.0,-4.7,-7.1,-0.4,5623831.0
20180104,내국인,113794.0,50071.0,94998.0,435600.0,322619.0,5899588.0,1049749.0,37543.0,263262.0,735327.0,47962.0,19195.0,17511601.0,871510.0,1199274.0,0.0,12677.0,1701707.0,587422.0,0.0,30953900.0,-4.7,-8.7,-0.7,5714965.0
20180105,내국인,111477.0,31588.0,93509.0,432891.0,381762.0,7383704.0,1177246.0,60086.0,360077.0,980239.0,79659.0,18286.0,20435870.0,996309.0,1359148.0,50.0,11214.0,2116769.0,687969.0,0.0,36717853.0,-3.0,-5.6,1.6,5905690.0
20180106,내국인,165323.0,49003.0,116775.0,470095.0,719930.0,12262763.0,1676075.0,30651.0,558743.0,1579295.0,57196.0,41399.0,23434169.0,157348.0,1379462.0,0.0,23371.0,773811.0,1157013.0,0.0,44652421.0,-2.8,-6.8,2.9,5695400.0
20180107,내국인,158430.0,28766.0,99823.0,366868.0,577919.0,10963870.0,1489564.0,22694.0,540154.0,1292936.0,50417.0,35025.0,17054831.0,69456.0,1246600.0,100.0,16479.0,641427.0,772837.0,0.0,35428195.0,-0.8,-5.7,2.8,5193643.0
20180108,내국인,116882.0,23921.0,77653.0,486567.0,299757.0,4977467.0,1006025.0,60663.0,298821.0,587757.0,39244.0,13776.0,15300143.0,953920.0,1199301.0,25.0,4398.0,1847674.0,446901.0,0.0,27740894.0,1.3,-1.2,4.0,5648692.0
20180109,내국인,95607.0,25718.0,69064.0,419060.0,331911.0,5742467.0,997968.0,48893.0,332629.0,569441.0,22874.0,16902.0,16872105.0,847468.0,1162033.0,0.0,13671.0,1767888.0,462200.0,0.0,29797897.0,-4.2,-6.1,-1.2,5716946.0
20180110,내국인,94616.0,33370.0,64008.0,387691.0,353130.0,6122384.0,1100134.0,60676.0,367949.0,568305.0,12819.0,11941.0,17481137.0,869466.0,1194484.0,30.0,5285.0,1766738.0,476574.0,0.0,30970739.0,-7.5,-10.3,-4.8,5758420.0
20180111,내국인,94290.0,29597.0,62895.0,353189.0,340844.0,6237614.0,1064187.0,46204.0,356230.0,635525.0,45701.0,12238.0,17532714.0,807213.0,1181336.0,30.0,3674.0,1787648.0,513139.0,0.0,31104269.0,-11.1,-13.6,-7.4,5682285.0
20180112,내국인,94057.0,25785.0,67427.0,363354.0,423720.0,7334426.0,1208834.0,50392.0,333903.0,839865.0,50330.0,15217.0,19697347.0,969603.0,1377338.0,30.0,20126.0,2209164.0,612626.0,0.0,35693544.0,-10.2,-15.3,-5.4,5866798.0
20180113,내국인,152428.0,42081.0,121370.0,457893.0,725158.0,12317784.0,1700615.0,38461.0,621003.0,1410170.0,47613.0,40597.0,23746270.0,121620.0,1463496.0,50.0,7454.0,664841.0,1030622.0,0.0,44709526.0,-4.4,-6.6,-1.2,5797050.0
20180114,내국인,157717.0,34744.0,109089.0,373082.0,602837.0,7950459.0,1518201.0,21732.0,594054.0,1184994.0,50183.0,38838.0,17709959.0,67043.0,1345283.0,200.0,5149.0,621075.0,876998.0,0.0,33261637.0,0.6,-4.4,5.4,5304422.0
20180115,내국인,133862.0,50902.0,72657.0,482994.0,295971.0,5488183.0,1070319.0,58092.0,351240.0,507287.0,59048.0,16746.0,15871723.0,923918.0,1293373.0,0.0,13415.0,1826384.0,554672.0,0.0,29070788.0,4.7,1.8,7.7,5780288.0
20180116,내국인,115650.0,56302.0,68889.0,407475.0,327334.0,5582710.0,1006460.0,34812.0,308071.0,537846.0,53052.0,11907.0,17265244.0,844804.0,1216679.0,0.0,3354.0,1755451.0,510937.0,0.0,30106977.0,3.5,0.1,6.8,5828054.0
